14,xtown,225,3224,284,223,482,345,253,382,285,297,433,511,,,,,
23,xtown,462,509,453,446,402,444,491,537,545,,,,,,,,
34,xtown,525,490,492,505,526,527,501,,,,,,,,,,
42,xtown,478,515,529,477,465,524,318,517,519,440,,,,,,,
59,xtown,530,422,499,457,2006,281,3132,305,290,2022,,,,,,,
8,ave,457,450,447,2021,477,523,490,521,494,453,470,116,284,,,,,
7,ave,173,465,492,379,442,446,334,482,223,,,,,,,,
6,ave,2006,352,510,493,524,505,498,466,435,168,345,,,,,,
bway,ave,499,457,468,469,500,173,465,533,362,267,498,505,486,444,402,497,285
lex,ave,2023,367,522,519,517,472,546,491,503,285,,,,,,,
